id;nom_dep;violence;destruction_degradation;homicides;vols;viols_crimes_sexuels;autres;stupefiants;falsification_escroquerie_fraude;surf_ha;nb_menage;nb_pers;pop;revenu_med;ss_dipl;dipl_min;dipl_sup;rev_median_pauv;intens_pauv;nom_dept;code_dept;nom_reg;code_reg
17;LOIRET;36639;21378;25841;168354;7054;25268;20769;49782;681086;286658;668701;665149;21987,65823;116481;242642;132921;8522,95082;0,327327869;LOIRET;45;CENTRE-VAL DE LOIRE;24
57;CHARENTE-MARITIME;16054;17658;15431;157376;5454;14861;14193;33976;687101;298078;639081;630579;19524,82063;114033;266267;119933;8773,188406;0,30757971;CHARENTE-MARITIME;17;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75
75;DEUX-SEVRES;3944;3337;3030;27947;1223;3738;2505;5794;603883;154609;349831;351624;19294,81928;73600;145353;65286;8661,515152;0,316484848;DEUX-SEVRES;79;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75
21;MOSELLE;35472;46565;31639;183775;6508;23208;24876;41038;624823;431871;985079;1045809;22508,45113;189004;400071;198364;8050,412371;0,364608247;MOSELLE;57;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44
79;ISERE;37770;42856;28561;317607;7391;29525;19551;46256;787580;516863;1224694;1228204;23063,96694;183469;409618;301140;8818,278689;0,304081967;ISERE;38;AUVERGNE-RHONE-ALPES;84
37;CORREZE;2520;1767;2383;17335;771;2677;2588;5150;589737;107478;225978;239683;19848,77049;43920;102259;43433;8791,666667;0,306;CORREZE;19;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75
1;VOSGES;9072;7801;7251;60825;1806;7826;9450;13787;589517;161262;351787;374669;19860,95588;79517;145903;57280;8054,5;0,3643;VOSGES;88;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44
83;JURA;12391;8278;9179;64207;3587;10876;8616;17346;504636;111188;245939;255169;21612,00508;46380;105363;45910;8336,25;0,3423125;JURA;39;BOURGOGNE-FRANCHE-COMTE;27
41;VAR;16188;10506;14316;100434;2400;12250;14746;23376;589769;456236;999339;972870;21117,82313;162739;400969;211963;8355,604396;0,340527473;VAR;83;PROVENCE-ALPES-COTE D'AZUR;93
27;VAL-D'OISE;37623;24960;27517;263171;5749;19136;34372;57768;125225;456801;1239348;1194595;26485,89888;189927;377455;269219;8226,8;0,350706667;VAL-D'OISE;95;ILE-DE-FRANCE;11
42;CREUSE;1067;619;601;6073;182;1026;636;2796;559795;54478;109243;119713;17797,30435;25535;52213;18446;7446,666667;0,4125;CREUSE;23;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75
34;SOMME;45678;30098;36429;232463;9156;37346;26258;56757;618824;231101;532143;569635;20543,16716;118947;200871;94782;7717,368421;0,390947368;SOMME;80;NORD-PAS-DE-CALAIS-PICARDIE;32
48;HAUTE-GARONNE;34584;34500;29670;344976;7270;30039;21375;67057;635692;575740;1289583;1298117;22823,62683;150494;406928;401326;8519,4;0,32758;HAUTE-GARONNE;31;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76
20;FINISTERE;6620;7864;5500;45083;1693;5346;6175;11953;677967;408667;888426;898614;20685,01818;116747;361328;200801;9261,842105;0,269008772;FINISTERE;29;BRETAGNE;53
44;GERS;6420;6076;5288;48382;2063;5217;6115;12839;629815;81634;177181;190223;19916,08219;36324;76544;37805;8171,666667;0,355;GERS;32;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76
94;MEURTHE-ET-MOSELLE;41276;47849;34861;217790;7525;19330;32110;59522;528215;303016;675112;728233;21846,85371;117651;263512;146441;7889,545455;0,37730303;MEURTHE-ET-MOSELLE;54;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44
88;AUBE;19416;13289;14231;81164;3004;10808;7932;22649;602542;129878;288511;306581;21434,90196;66820;113828;48554;7780,869565;0,385913043;AUBE;10;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44
58;MANCHE;6684;5954;6588;39156;2684;6745;5664;13475;603594;216129;474817;470891;19738,88361;103288;198771;79239;8709,090909;0,312727273;MANCHE;50;NORMANDIE;28
18;TARN;5166;4785;3599;35310;1263;3875;2945;6777;578082;168354;376761;380140;19733,57143;71845;148096;76238;8370;0,339432432;TARN;81;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76
47;LOIR-ET-CHER;5308;4299;4090;31483;976;2983;2875;6423;642076;144368;322311;326660;21092,0155;68422;129348;55196;8646,129032;0,317612903;LOIR-ET-CHER;41;CENTRE-VAL DE LOIRE;24
9;HAUTE-SAONE;13850;8923;10357;63323;3650;12093;5898;17339;538755;99645;224944;238117;20152,01357;48639;94467;37084;8247,5;0,3491875;HAUTE-SAONE;70;BOURGOGNE-FRANCHE-COMTE;27
78;DOUBS;12700;9461;10236;49586;1942;9891;5438;16958;525366;226361;512705;530985;23844,1841;90575;191160;107462;8456,944444;0,332555556;DOUBS;25;BOURGOGNE-FRANCHE-COMTE;27
30;HAUTES-PYRENEES;10593;13680;9569;85108;2656;10329;15433;21065;451653;100405;212017;228769;20372,29773;36756;98122;44048;8251,764706;0,348764706;HAUTES-PYRENEES;65;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76
