id;nom_tj;violence;destruction degradation;homicides;vols;viols crimes sexuels;autres;stupefiants;falsification escroquerie fraude;surf_ha;nb_menage;nb_pers;pop;revenu_med;ss_dipl;dipl_min;dipl_sup;rev_median_pauv;intens_pauv
83;Tribunal de Grande Instance de Clermont-Ferrand;10968;15861;9750;99227;2242;6522;5808;22898;801745;286316;618857;639389;20394,19954;100085;244007;140702;8594,222222;0,321688889
55;Tribunal de Grande Instance de Colmar;6069;4165;4324;28922;1494;4552;2787;7150;235149;157818;366574;370616;24275,24752;59651;146371;78033;8687,941176;0,314264706
11;Tribunal de Grande Instance de Compiègne;1962;1815;1605;17235;435;1560;1659;2529;128163;73046;175447;180891;22247,27273;32799;63913;35311;8362;0,34
59;Tribunal de Grande Instance de Coutances;5990;5444;5998;36795;2475;6406;5329;12763;437509;133772;291686;292622;19400,65292;69538;122222;46256;8700,294118;0,313411765
130;Tribunal de Grande Instance de Créteil;19898;18159;16328;152458;2338;10538;16359;33163;24467;554134;1349248;1354005;24636,59574;199701;379532;384716;7893,829787;0,377
1;Tribunal de Grande Instance de Cusset;3150;2617;2680;17397;665;2509;2160;4807;268896;66589;138232;142971;18774,12587;;;;;
39;Tribunal de Grande Instance de Dax;6856;6220;6324;70847;2063;8817;12182;15338;319906;101840;226797;217269;20710,39735;36111;95382;44651;8751,25;0,309333333
31;Tribunal de Grande Instance de Dieppe;8212;6279;8485;46870;1997;8479;6601;11026;275724;89452;204331;211321;20069,77695;49607;81484;27683;7885,625;0,3775625
8;Tribunal de Grande Instance de Digne-les-Bains;4619;3447;2868;26789;865;4539;5346;5783;700756;72618;154503;161664;19600;13;38;12;;
146;Tribunal de Grande Instance de Dijon;16470;17153;13785;106145;4644;17353;16207;27322;879890;221393;485079;527775;21998,80455;84714;190122;114678;8264,583333;0,347833333
46;Tribunal de Grande Instance de Douai;54504;44640;51948;270756;9288;28332;47592;62388;47685;99020;241683;247279;20701,40625;47028;91942;39027;7967,1875;0,3711875
23;Tribunal de Grande Instance de Draguignan;6285;2767;4993;42476;1035;4868;4425;9903;472534;214341;480514;466171;20612,43478;78932;196873;95969;8324;0,34305
12;Tribunal de Grande Instance de Dunkerque;24057;28961;23482;172091;5566;21031;24555;27695;144979;154269;368727;377081;21110,18018;73044;139612;62769;8641,142857;0,317971429
56;Tribunal de Grande Instance de Foix;5552;4573;4461;30021;1733;6337;3826;8081;490781;65925;139837;152495;18613,36283;;;;;
2;Tribunal de Grande Instance de Fontainebleau;7710;6556;6767;42872;1124;9615;8836;9635;140802;76414;184375;177809;24682,1875;30804;64232;40128;8395;0,337409091
122;Tribunal de Grande Instance de Gap;714;608;654;5696;184;587;1895;1351;569736;63014;133859;138001;19857,37226;;;;;
3;Tribunal de Grande Instance de Grasse;3937;3206;3257;31689;561;2758;2653;6176;124040;266784;575803;560338;23447,35849;;;;;
37;Tribunal de Grande Instance de Grenoble;24498;29999;18339;228434;4078;18356;12538;29634;514149;320399;731354;752923;23444,55598;103551;227305;206239;8819,047619;0,304047619
54;Tribunal de Grande Instance de Guéret;1067;619;601;6073;182;1026;636;2796;559795;54478;109243;119713;17797,30435;25535;52213;18446;7446,666667;0,4125
9;Tribunal de Grande Instance de La Rochelle;6803;8953;6243;67986;1936;4928;6823;11701;225682;168217;361653;355044;21236,4;57381;145794;75243;8927,708333;0,295354167
101;Tribunal de Grande Instance de la Roche-sur-Yon;5386;4154;5027;40455;1842;5504;3691;9845;465959;168559;399785;396903;19609,83146;71277;170188;70984;9522,641509;0,248509434
123;Tribunal de Grande Instance de Laon;16356;14370;11856;68505;3414;12171;5658;17325;356171;85511;198504;213939;19294,42997;;;;;
90;Tribunal de Grande Instance de Laval;8086;6524;6158;43818;2218;6670;7442;13608;521249;124293;290330;296916;19036,31799;61599;115768;48171;9069,62963;0,284185185
77;Tribunal de Grande Instance de Libourne;8527;5921;6461;55064;2270;7200;3667;9222;200046;92091;215665;214089;19863,82022;41537;89251;34297;8216,4;0,35148
28;Tribunal de Grande Instance de Lille;293124;332696;267696;2660320;57668;112372;325572;417300;88133;496355;1177221;1227051;24847,01613;195761;346818;296992;8261,842105;0,347934211
25;Tribunal de Grande Instance de Limoges;6080;4800;5348;45031;1679;3668;4813;10639;555699;165857;348176;374123;19384,375;65473;142264;73895;8521,153846;0,3275
143;Tribunal de Grande Instance de Lisieux;1945;2828;1396;10215;314;1619;2589;3360;168063;63783;138550;138293;21949,04412;30629;58419;22952;8462;0,332133333
144;Tribunal de Grande Instance de Lons-le-Saunier;12391;8278;9179;64207;3587;10876;8616;17346;503943;111127;245809;254999;21617,17557;46343;105286;45892;8336,25;0,3423125
13;Tribunal de Grande Instance de Lorient;8315;9364;8635;64627;2318;6464;4994;14912;326223;187425;409165;404654;20300;63140;167988;81328;9080,172414;0,283362069
15;Tribunal de Grande Instance de Lyon;119941;137721;105892;1280285;20300;91375;98190;224910;170483;450387;1096134;1073331;25224,25806;166853;339688;273471;8447,407407;0,333246914
42;Tribunal de Grande Instance de Mâcon;7394;4649;6545;47405;1479;6461;7606;12868;371351;93919;204290;212776;20928,05195;43800;85709;36261;8454,666667;0,332733333
53;Tribunal de Grande Instance de Marseille;13022;8659;11566;106074;1398;6955;7283;18066;43252;89011;207868;199132;25400;30293;72796;50956;8835,789474;0,302684211
5;Tribunal de Grande Instance de Meaux;28843;22876;20819;172232;5099;20929;22862;34299;221359;265925;692799;674748;24990,13453;97349;234665;150587;8302,631579;0,344666667
85;Tribunal de Grande Instance de Melun;36905;33654;26104;192797;5537;16267;29871;39110;230310;196193;511720;506637;24736,31868;76322;178946;104168;8189,411765;0,353647059
60;Tribunal de Grande Instance de Mende;691;511;816;4322;245;1111;594;1471;517432;31726;67875;72348;18107,47899;13377;30577;15031;8666;0,3162
19;Tribunal de Grande Instance de Metz;20525;29248;20015;122210;4222;15160;13277;25004;380995;213581;483669;515023;22362,45098;85385;191414;106910;8334,722222;0,342194444
14;Tribunal de Grande Instance de Montargis;4126;2671;3091;17814;879;2856;2452;4854;316982;83762;189812;192290;20984,06015;42208;75753;27095;8194,5;0,3532
113;Tribunal de Grande Instance de Montauban;1497;1358;1366;11485;359;1016;635;2642;373028;108147;253025;250342;18807,74725;49315;98111;45855;8203,684211;0,352421053
33;Tribunal de Grande Instance de Montbéliard;8176;5896;6344;26752;1016;5280;3352;9344;107472;70938;162296;167063;24471,47287;34966;62260;26713;8156,666667;0,356277778
