id;surf_ha;nb_menage;nb_pers;pop;revenu_med;ss_dipl;dipl_min;dipl_sup;rev_median_pauv;intens_pauv;nom_reg;code_reg;nom_tj;violence;destruction degradation;homicides;viols crimes sexuels;autres;stupefiants;falsification escroquerie fraude;siege;parquet;total_magistrat
11;128637;122294;281424;195164;27319.367088607596;34534;97392;78201;8898.888888888889;0.2974444444444444;AUVERGNE-RHONE-ALPES;84;Tribunal de Grande Instance d'Annecy;1327;908;972;313;1270;1681;2258;16;5;21
12;312820;63341;138764;144623;19416.13095238095;35292;58710;19074;8385.333333333334;0.3381333333333333;NORMANDIE;28;Tribunal de Grande Instance d'Argentan;1879;1945;1066;407;1271;805;2235;9;3;12
13;252736;127749;305846;311928;20291.301939058172;54319;119783;55086;7869.583333333333;0.3789166666666666;NORD-PAS-DE-CALAIS-PICARDIE;32;Tribunal de Grande Instance d'Arras;19929;7370;13832;4182;8488;8508;12851;18;7;25
14;629162;81634;177181;190133;19916.08219178082;36302;76510;37787;8171.666666666667;0.35500000000000004;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76;Tribunal de Grande Instance d'Auch;6420;6076;5288;2063;5217;6115;12839;10;3;13
15;577302;65107;135800;145041;18251.53110047847;29697;63639;23229;9080;0.2835555555555555;AUVERGNE-RHONE-ALPES;84;Tribunal de Grande Instance d'Aurillac;3610;2090;2374;837;2985;1713;7628;9;3;12
16;479176;75606;162498;175519;20470.510638297874;36569;69607;27764;7887.272727272727;0.3774545454545455;BOURGOGNE-FRANCHE-COMTE;27;Tribunal de Grande Instance d'Auxerre;8030;3796;6183;1903;6343;5366;17186;17;5;22
17;140898;92442;220873;232032;20253.64864864865;46290;87815;32703;6934.137931034483;0.4526896551724138;NORD-PAS-DE-CALAIS-PICARDIE;32;Tribunal de Grande Instance d'Avesnes-sur-Helpe;23001;30679;23802;3933;9932;11424;18262;18;6;24
18;172670;145334;331401;325166;21423.731343283584;60757;116802;68360;8296.666666666666;0.34512499999999996;PROVENCE-ALPES-COTE D'AZUR;93;Tribunal de Grande Instance d'Avignon;3573;2457;3166;628;3120;3572;5161;27;10;37
19;339543;42145;94035;105735;20135.1724137931;21881;41490;15358;7852.857142857143;0.38042857142857145;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44;Tribunal de Grande Instance de Bar-le-Duc;4966;3552;3973;1418;5094;3956;6107;8;3;11
20;468644;63776;135115;169368;18775.271317829458;34029;67703;34748;7930;0.37412500000000004;CORSE;94;Tribunal de Grande Instance de Bastia;2319;3707;1872;442;1718;991;3746;17;6;23
21;230162;139595;293745;286352;19851.8487394958;39810;116252;74401;8806.206896551725;0.3049655172413793;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75;Tribunal de grande instance de Bayonne;2516;2373;2443;437;2492;3358;4437;18;7;25
22;325452;140996;350448;353392;22307.659574468085;67743;134507;58585;8623.793103448275;0.31944827586206903;NORD-PAS-DE-CALAIS-PICARDIE;32;Tribunal de Grande Instance de Beauvais;13732;13089;10628;3182;12647;4183;16720;24;9;33
23;61046;59396;133441;143890;24365.757575757576;23467;51466;29391;8003.636363636364;0.36818181818181817;BOURGOGNE-FRANCHE-COMTE;27;Tribunal de Grande Instance de Belfort;4257;2493;3447;837;2439;3294;3762;10;4;14
24;367065;72512;154264;161581;18994.449541284404;33091;68207;28705;8140;0.35755555555555557;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75;Tribunal de Grande Instance de Bergerac;3608;3051;3113;1336;4227;1979;6490;10;3;13
25;417894;155423;350409;363922;23612.320916905443;55609;128900;80749;8757.222222222223;0.30883333333333335;BOURGOGNE-FRANCHE-COMTE;27;Tribunal de Grande Instance de Besançon;4524;3565;3892;926;4611;2086;7614;20;7;27
26;95339;246035;599421;603322;19380.072463768116;122480;231749;83572;7939.210526315789;0.37346052631578935;NORD-PAS-DE-CALAIS-PICARDIE;32;Tribunal de Grande Instance de Béthune;84697;90403;81527;17914;30704;45091;78065;39;12;51
27;299228;148579;321941;308948;18312.23776223776;62551;131491;54337;8034.615384615385;0.3657179487179488;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76;Tribunal de Grande Instance de Béziers;7225;7357;7026;1528;5999;8058;10997;23;8;31
28;644673;144574;322767;327121;40242;68527;129522;55245;8646.129032258064;0.31761290322580643;CENTRE-VAL DE LOIRE;24;Tribunal de Grande Instance de Blois;5308;4299;4090;976;2983;2875;6423;16;5;21
29;23503;582605;1577218;1545500;17725.128205128203;341891;446801;297012;7354.871794871795;0.4195897435897435;ILE-DE-FRANCE;11;Tribunal de Grande Instance de Bobigny;19540;18749;15774;2385;9821;20901;20992;135;53;188
30;175104;80093;189363;182177;26645.333333333332;29026;69721;40080;8908.947368421053;0.29673684210526313;AUVERGNE-RHONE-ALPES;84;Tribunal de Grande Instance de Bonneville;3399;2211;2637;849;3540;3861;4506;11;5;16
31;805189;597422;1333957;1286903;20842.477876106193;171402;464552;347204;8615.420560747663;0.32008411214953275;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75;Tribunal de Grande Instance de Bordeaux;53385;83433;56940;12081;38105;42542;98711;82;30;112
32;211297;161985;377479;385140;19838;81332;143376;58320;8028.611111111111;0.36619444444444443;NORD-PAS-DE-CALAIS-PICARDIE;32;Tribunal de Grande Instance de Boulogne-sur-Mer;15130;14468;11980;3405;12288;8316;17509;28;10;38
33;578248;255041;614580;610759;23521.233595800524;;;;;;AUVERGNE-RHONE-ALPES;84;Tribunal de Grande Instance de Bourg-en-Bresse;14032;12388;10751;3421;10738;8901;19380;28;9;37
34;730621;137669;294915;311389;19970.18656716418;59903;125042;51484;8242.631578947368;0.34936842105263155;CENTRE-VAL DE LOIRE;24;Tribunal de Grande Instance de Bourges;6788;7343;5280;1429;3919;3082;10117;10;5;15
35;136032;87408;217282;207348;22557.583333333332;33565;81444;42892;9003;0.28950000000000004;AUVERGNE-RHONE-ALPES;84;Tribunal de Grande Instance de Bourgoin-Jallieu;11668;11337;9262;3067;9985;6217;14658;10;3;13
36;330548;228812;505714;514851;20874.533333333333;62423;200803;118293;9333;0.2633833333333333;BRETAGNE;53;Tribunal de Grande Instance de Brest;3536;4863;2837;974;2479;3145;6345;25;8;33
