id;surf_ha;nb_menage;nb_pers;pop;revenu_med;ss_dipl;dipl_min;dipl_sup;rev_median_pauv;intens_pauv;nom_reg;code_reg;nom_tj;violence;destruction degradation;homicides;viols crimes sexuels;autres;stupefiants;falsification escroquerie fraude;siege;parquet;total_magistrat
121;239260;126345;277369;267170;20179.440559440558;46614;112694;54388;9168.611111111111;0.2763333333333333;BRETAGNE;53;Tribunal de Grande Instance de Saint-Malo;5700;5478;4932;1599;4917;3252;15183;13;5;18
122;255161;167724;379097;357468;21003.382352941175;52528;154811;70583;9338.57142857143;0.263;PAYS DE LA LOIRE;52;Tribunal de Grande Instance de Saint-Nazaire;1283;1394;1253;381;1116;1954;2603;18;7;25
123;109481;66553;165216;163809;19239.910714285714;30768;63597;26772;8229.333333333334;0.3506666666666666;NORD-PAS-DE-CALAIS-PICARDIE;32;Tribunal de Grande Instance de Saint-Omer;2622;2082;1944;474;690;1734;1782;10;3;13
124;139414;61112;140564;148158;19712.5;;;;;;NORD-PAS-DE-CALAIS-PICARDIE;32;Tribunal de Grande Instance de Saint-Quentin;6664;5635;5085;1593;3953;2352;6840;9;3;12
125;149579;109770;251941;266800;21341.503267973854;57109;106620;38547;7900;0.3765161290322581;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44;Tribunal de Grande Instance de Sarreguemines;3574;3431;2617;570;2486;3982;5130;21;6;27
126;245268;68340;160671;149574;19090.95238095238;36223;61645;24844;8873.125;0.29962500000000003;PAYS DE LA LOIRE;52;Tribunal de grande instance de Saumur;130;224;142;25;192;139;234;7;2;9
127;185849;89887;214257;216229;22844.554455445545;35161;88917;41873;8538.421052631578;0.3260526315789474;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44;Tribunal de Grande Instance de Saverne;11223;5499;8460;2139;8175;6039;16824;15;3;18
128;138840;109059;276366;279564;25803.71212121212;50526;93788;56368;8509.6;0.32836000000000004;NORD-PAS-DE-CALAIS-PICARDIE;32;Tribunal de Grande Instance de Senlis;6690;9010;5568;1443;6239;5169;10353;20;7;27
129;266786;71045;162086;163277;21200.479452054795;35021;65968;24185;8055.384615384615;0.36423076923076925;BOURGOGNE-FRANCHE-COMTE;27;Tribunal de Grande Instance de Sens;7060;5497;6598;1547;4753;3223;9341;9;3;12
130;241436;71593;169827;175672;21020.04366812227;;;;;;NORD-PAS-DE-CALAIS-PICARDIE;32;Tribunal de Grande Instance de Soissons;11006;8116;7843;2297;7906;3812;12772;8;3;11
131;250072;40947;87374;96616;19746.01156069364;18239;40970;17288;7106;0.4394;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76;Tribunal de grande instance de St Gaudens;3293;3692;2906;597;3449;1117;6758;6;2;8
132;229806;337025;775201;804335;25052.967479674797;118866;277403;193000;8315.094339622641;0.3437169811320755;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44;Tribunal de Grande Instance de Strasbourg;29332;29061;20154;4989;11916;17331;35358;67;19;86
133;228362;90426;210696;202919;21544.166666666668;40384;76283;40280;8557.037037037036;0.3246666666666667;PROVENCE-ALPES-COTE D'AZUR;93;Tribunal de grande instance de Tarascon;262;414;220;38;159;189;301;14;5;19
134;451653;100405;212017;228769;20372.29773462783;36756;98122;44048;8251.764705882353;0.34876470588235303;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76;Tribunal de grande instance de Tarbes;10593;13680;9569;2656;10329;15433;21065;14;5;19
135;94249;108520;249469;263986;24797.98076923077;46510;102037;52907;7864.666666666667;0.37920000000000004;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44;Tribunal de Grande Instance de Thionville;11373;13886;9007;1716;5562;7617;10904;18;5;23
136;156684;137521;318375;315648;31813.59712230216;43529;121948;79626;7416.666666666667;0.41473333333333323;AUVERGNE-RHONE-ALPES;84;Tribunal de Grande Instance de Thonon-les-Bains;6774;5504;5808;1280;6632;8106;9562;16;6;22
137;117235;241895;518825;506699;22934.0625;83807;204096;115994;8416.774193548386;0.3356451612903226;PROVENCE-ALPES-COTE D'AZUR;93;Tribunal de Grande Instance de Toulon;9903;7739;9323;1365;7382;10321;13473;41;15;56
138;386273;534793;1202209;1201591;24575.032894736843;132277;365992;384056;8593.78947368421;0.3216947368421053;LANGUEDOC-ROUSSILLON-MIDI-PYRENEES;76;Tribunal de Grande Instance de Toulouse;31291;30808;26764;6673;26590;20258;60299;68;24;92
139;615636;267901;593721;598314;20560.441176470587;95755;217784;129443;8768.297872340425;0.308127659574468;CENTRE-VAL DE LOIRE;24;Tribunal de Grande Instance de Tours;15683;23631;13752;4754;12051;9644;38712;31;10;41
140;602542;129878;288511;306581;21434.901960784315;66820;113828;48554;7780.869565217391;0.38591304347826094;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44;Tribunal de Grande Instance de Troyes;19416;13289;14231;3004;10808;7932;22649;22;7;29
141;436769;47977;98767;110379;19656.666666666668;21003;48431;18926;8487.5;0.33000000000000007;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;75;Tribunal de grande instance de Tulle;896;815;1039;355;1021;1436;1814;9;3;12
142;654206;217633;498917;493995;20069.89247311828;86509;188441;106027;8673.333333333334;0.31553333333333344;AUVERGNE-RHONE-ALPES;84;Tribunal de Grande Instance de Valence;11975;11284;8665;2354;9986;7951;17948;31;10;41
143;63525;139784;337879;349486;19586.463414634145;67677;127571;54010;7512.195121951219;0.40709756097560973;NORD-PAS-DE-CALAIS-PICARDIE;32;Tribunal de Grande Instance de Valenciennes;105388;89692;86442;14790;28900;44932;77674;25;9;34
144;359619;149516;336166;327788;20213.768115942028;50252;135696;68483;9108.333333333334;0.28120833333333334;BRETAGNE;53;Tribunal de Grande Instance de Vannes;3687;3434;3207;1026;3143;2185;6832;14;5;19
145;283714;32863;73611;86280;19616.78787878788;16579;35514;12266;7755;0.3878333333333333;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44;Tribunal de Grande Instance de Verdun;6278;2743;4224;1561;4667;3444;6055;10;3;13
146;230569;565736;1439467;1410988;30309.10505836576;166388;386288;448514;8360.76923076923;0.3400989010989012;ILE-DE-FRANCE;11;Tribunal de Grande Instance de Versailles;37928;37014;26757;5879;23540;46812;57111;75;30;105
147;538755;99645;224944;238117;20152.013574660632;48639;94467;37084;8247.5;0.34918750000000004;BOURGOGNE-FRANCHE-COMTE;27;Tribunal de Grande Instance de Vesoul;13850;8923;10357;3650;12093;5898;17339;14;5;19
148;137399;109056;276058;267933;22703.904761904763;46353;100869;52009;8625.51724137931;0.31924137931034485;AUVERGNE-RHONE-ALPES;84;Tribunal de Grande Instance de Vienne;1604;1520;960;246;1184;796;1964;13;5;18
149;150485;80742;193354;190735;22568.363636363636;35815;74458;39666;8641.578947368422;0.318;AUVERGNE-RHONE-ALPES;84;Tribunal de Grande Instance de Villefranche-sur-Saône;6842;3707;4938;1434;3770;5311;9872;11;4;15
150;589517;161262;351787;374669;19860.95588235294;79517;145903;57280;8054.5;0.3643;ALSACE-CHAMPAGNE-ARDENNE-LORRAINE;44;Tribunal de Grande Instance d'Epinal;9072;7801;7251;1806;7826;9450;13787;23;7;30
151;212817;106494;229200;210919;20316.625;48391;111783;39537;9488.57142857143;0.25111904761904763;PAYS DE LA LOIRE;52;Tribunal de Grande Instance des Sables-d'Olonne;606;582;553;149;710;697;1085;9;3;12
152;602841;242144;581595;580268;22126.166077738515;114240;227477;98528;8348.04347826087;0.34121739130434786;NORMANDIE;28;Tribunal de Grande Instance d'Evreux;27326;20360;25902;7490;25935;15339;39037;32;13;45
153;181871;494041;1262149;1240234;27314.6875;175119;396215;324270;8305.78947368421;0.34451578947368405;ILE-DE-FRANCE;11;Tribunal de Grande Instance d'Evry;19761;12088;15762;2973;11792;16620;22298;74;31;105
154;364104;202896;478889;472859;22717.049180327867;74273;166889;105826;8683.170731707318;0.3147073170731706;CENTRE-VAL DE LOIRE;24;Tribunal de Grande Instance d'Orléans;32513;18707;22750;6175;22412;18317;44928;27;9;36
155;126774;164510;377842;387836;22752.5;72662;145426;63951;8514.117647058823;0.3281176470588235;NORMANDIE;28;Tribunal de Grande Instance du Havre;13927;22845;9506;2202;7489;9020;13809;26;10;36
156;621777;240117;546584;561223;20251.735294117647;108704;216496;92017;8821.4;0.30382000000000003;PAYS DE LA LOIRE;52;Tribunal de Grande Instance du Mans;11973;8718;9006;3207;7050;4659;17634;29;10;39
157;500233;98949;220529;226167;18553.917050691245;39120;94705;39929;8781.538461538461;0.3069230769230769;AUVERGNE-RHONE-ALPES;84;Tribunal de Grande Instance du Puy-en-Velay;3668;2674;2386;888;8914;5274;4908;11;4;15
